crawl,IPv4,IPv6
CC-MAIN-2024-51,3057743967,7585839
CC-MAIN-2025-05,3491098648,8898076
CC-MAIN-2025-08,3128130576,10219007
CC-MAIN-2025-13,3203129525,10634370
CC-MAIN-2025-18,3214992172,10848876
CC-MAIN-2025-21,2891292644,13084143
CC-MAIN-2025-26,2794169955,15221146
CC-MAIN-2025-30,2817216601,17876010
CC-MAIN-2025-33,2823211683,18026023
CC-MAIN-2025-38,2781126217,17076506
CC-MAIN-2025-43,3005102966,18102799
CC-MAIN-2025-47,2662146105,15934055
CC-MAIN-2025-51,2524019254,13171938
CC-MAIN-2026-04,2697415922,14964642
CC-MAIN-2026-08,2532138475,13639533
CC-MAIN-2026-12,1604109903,734918582
CC-MAIN-2026-17,1754184699,834469633
CC-MAIN-2026-21,1752265702,807802165
CC-MAIN-2026-25,1678221484,806620998
