crawl,(no SSL/TLS),TLSv1.2,TLSv1.3
CC-MAIN-2024-30,386258442,472252240,2126751212
CC-MAIN-2024-33,353500663,430369376,1933043196
CC-MAIN-2024-38,379996634,488490484,2361703615
CC-MAIN-2024-42,346228556,445888780,2112330131
CC-MAIN-2024-46,357303886,466302517,2274037217
CC-MAIN-2024-51,362986809,465292492,2237050505
CC-MAIN-2025-05,384013543,506399897,2609583284
CC-MAIN-2025-08,358035366,455366970,2324947247
CC-MAIN-2025-13,358712278,435449651,2419601966
CC-MAIN-2025-18,350248220,459857512,2415735316
CC-MAIN-2025-21,304698915,397764598,2201913274
CC-MAIN-2025-26,308679968,374236220,2126474913
CC-MAIN-2025-30,304467493,367575983,2163049135
CC-MAIN-2025-33,293333663,364013795,2183890248
CC-MAIN-2025-38,282145520,350176483,2165880720
CC-MAIN-2025-43,297200066,371500383,2354505316
CC-MAIN-2025-47,295122293,357628629,2025329238
CC-MAIN-2025-51,282832488,335266112,1919092592
CC-MAIN-2026-04,266890648,349839755,2095650161
CC-MAIN-2026-08,257254864,319674013,1968849131
CC-MAIN-2026-12,231059173,292776204,1815193108
CC-MAIN-2026-17,240226932,282526906,2065900494
CC-MAIN-2026-21,226601430,264354995,2069111442
CC-MAIN-2026-25,211593523,250288379,2022960580
