crawl,digest estim.,page,url
CC-MAIN-2008-2009,1804803498,1798158091,1790932667
CC-MAIN-2009-2010,2631454016,2863495211,2301135881
CC-MAIN-2012,3472132880,3828539877,3597338329
CC-MAIN-2013-20,1675186145,1796098643,1666857706
CC-MAIN-2013-48,2123908635,2245773667,2085501361
CC-MAIN-2014-10,2115654671,2301223474,2032050611
CC-MAIN-2014-15,2250363653,2641371316,1718646762
CC-MAIN-2014-23,3127260498,3608720876,2116640253
CC-MAIN-2014-35,2513136600,2870692423,1877746879
CC-MAIN-2014-41,2643268717,2979743543,1980620845
CC-MAIN-2014-42,3004865099,3722131678,1602175249
CC-MAIN-2014-49,1675826663,1948510433,1321875973
CC-MAIN-2014-52,1917739931,2085977207,1905493151
CC-MAIN-2015-06,1663353964,1826024103,1679287071
CC-MAIN-2015-11,1660875177,1837196089,1685659195
CC-MAIN-2015-14,1497626091,1646697534,1514869973
CC-MAIN-2015-18,1910978257,2115818059,1934559347
CC-MAIN-2015-22,1821352251,2015461448,1836492906
CC-MAIN-2015-27,1525928862,1675619098,1531042999
CC-MAIN-2015-32,1613612273,1815492409,1649248826
CC-MAIN-2015-35,1677929649,1848022475,1673197542
CC-MAIN-2015-40,1188702135,1321987379,1215112821
CC-MAIN-2015-48,1643268398,1824170527,1644173738
CC-MAIN-2016-07,1546567872,1733285122,1560185771
CC-MAIN-2016-18,1211048216,1335046923,1335046923
CC-MAIN-2016-22,1308787436,1466220798,1466220798
CC-MAIN-2016-26,1080537066,1236815660,1236815660
CC-MAIN-2016-30,1537831071,1737322304,1632457174
CC-MAIN-2016-36,1435966389,1611613090,1558553055
CC-MAIN-2016-40,1538695808,1722656393,1690810255
CC-MAIN-2016-44,3040453061,3254976731,3200654906
CC-MAIN-2016-50,2835369567,2866282390,2822871128
CC-MAIN-2017-04,3124474229,3146498026,3116143133
CC-MAIN-2017-09,3075159558,3084366662,2927969262
CC-MAIN-2017-13,3076918527,3070720576,3036216177
CC-MAIN-2017-17,2915114582,2942930482,2907715349
CC-MAIN-2017-22,2913487045,2967293699,2918934207
CC-MAIN-2017-26,3090678021,3165214086,3134206224
CC-MAIN-2017-30,2731370763,2892213652,2845357895
CC-MAIN-2017-34,3321321532,3280080910,3256820690
CC-MAIN-2017-39,2954936664,3017180563,2981741134
CC-MAIN-2017-43,3568900959,3650430218,3612710595
CC-MAIN-2017-47,3147013327,3204943573,3176376980
CC-MAIN-2017-51,2838391323,2914004423,2894523756
CC-MAIN-2018-05,3405797273,3464537205,3433021579
CC-MAIN-2018-09,3473010805,3488463319,3457773652
CC-MAIN-2018-13,3159524180,3232738018,3198644180
CC-MAIN-2018-17,3012333785,3101353989,3075796938
CC-MAIN-2018-22,2744992004,2788388007,2760510003
CC-MAIN-2018-26,2987363973,3069414247,3035256963
CC-MAIN-2018-30,3179521724,3263958200,3216428094
CC-MAIN-2018-34,2622248769,2686323358,2651873292
CC-MAIN-2018-39,2779896284,2841194829,2809230609
CC-MAIN-2018-43,3015132452,3041784523,3009250058
CC-MAIN-2018-47,2561180363,2646568544,2613775730
CC-MAIN-2018-51,3119954567,3164247635,3126936231
CC-MAIN-2019-04,2783709611,2889726642,2862395712
CC-MAIN-2019-09,2803066951,2913733422,2884823295
CC-MAIN-2019-13,2497065618,2569681845,2543088606
CC-MAIN-2019-18,2438027577,2497818607,2472089618
CC-MAIN-2019-22,2630765347,2679746250,2652632174
CC-MAIN-2019-26,2554582339,2594261117,2571282259
CC-MAIN-2019-30,2531580647,2594798375,2570908353
CC-MAIN-2019-35,2833688958,2954836065,2927837229
CC-MAIN-2019-39,2492717822,2561062912,2538726203
CC-MAIN-2019-43,2924967393,3019036529,2993600398
CC-MAIN-2019-47,2514913197,2590595173,2567604470
CC-MAIN-2019-51,2406286576,2471904965,2451407069
CC-MAIN-2020-05,3028524398,3101097173,3073345461
CC-MAIN-2020-10,2598864641,2629963462,2608200380
CC-MAIN-2020-16,2865127577,2886236237,2862109363
CC-MAIN-2020-24,2685892317,2763206762,2739217355
CC-MAIN-2020-29,3040070894,3144733420,3115135038
CC-MAIN-2020-34,2354875952,2449834239,2429402562
CC-MAIN-2020-40,3407171814,3473571206,3446549212
CC-MAIN-2020-45,2627114869,2731063243,2709830599
CC-MAIN-2020-50,2556108707,2642471501,2623030081
CC-MAIN-2021-04,3317353644,3401286407,3374268802
CC-MAIN-2021-10,2698208760,2736749883,2717572573
CC-MAIN-2021-17,3057706409,3134424806,3116314669
CC-MAIN-2021-21,2590708976,2632142465,2616289925
CC-MAIN-2021-25,2404813154,2457631756,2443174594
CC-MAIN-2021-31,3060540112,3165089855,3148285250
CC-MAIN-2021-39,2880390023,2959903779,2942372881
CC-MAIN-2021-43,3304468971,3349178015,3332276463
CC-MAIN-2021-49,2445330855,2527075799,2510642167
CC-MAIN-2022-05,2923130207,2986392030,2971085259
CC-MAIN-2022-21,3397499191,3449824215,3427800099
CC-MAIN-2022-27,3065329274,3109609672,3091798575
CC-MAIN-2022-33,2506544286,2588690250,2570114162
CC-MAIN-2022-40,3100384124,3176763048,3160148440
CC-MAIN-2022-49,3327669734,3381612888,3360693494
CC-MAIN-2023-06,3129891467,3189578207,3171463873
CC-MAIN-2023-14,3061148112,3118633413,3100440521
CC-MAIN-2023-23,3063301913,3140573968,3121917891
CC-MAIN-2023-40,3398196830,3445015037,3419001876
CC-MAIN-2023-50,3296666094,3354042124,3327873282
CC-MAIN-2024-10,3005351878,3106525566,3081216032
CC-MAIN-2024-18,2736902585,2786800057,2768587136
CC-MAIN-2024-22,2639673318,2709877975,2692942753
CC-MAIN-2024-26,2751769686,2798047026,2780577813
CC-MAIN-2024-30,2456863301,2546630395,2532418706
CC-MAIN-2024-33,2261433594,2315926416,2303470630
CC-MAIN-2024-42,2425001789,2495190754,2482057519
