year,(other),"com,net",org,edu,"gov,mil",North America,South America,Oceania,Africa,Asia,Europe
2009,2.372710231294118,80.38104003392658,8.098021232327786,1.2756570801426825,0.3793266584367303,0.11401450241006646,0.4869093014580774,0.6385207762024301,0.025662649035679254,1.4786198795909986,4.749517655174848
2010,1.4855696236647693,74.95629887048294,7.140239674834392,1.3082817069941184,0.5120370711261071,0.7706887698166217,0.9790683746172806,1.4112024309658973,0.1281535582272385,1.7830943051527208,9.525365614117918
2012,1.805603499529646,61.286829663077846,6.022710391113422,0.6065157408833226,0.2674993425437423,1.313681628396945,1.1912177609532053,1.7423530678298849,0.22608598259612694,2.774087757007317,22.763415166068544
2013,0.40492028804343894,76.34802196410801,9.397803489739635,2.906696525502064,1.4128169971802005,1.0172778318175024,0.422744478041168,1.0805405428554966,0.18532918473122176,0.8537253370084816,5.970123360972776
2014,0.41733410009547656,76.45221478702612,9.748707889557197,3.364365474710134,1.6853772456589369,0.9603473219225983,0.5335950655704679,0.8683960090486706,0.18209174352684082,0.8291928743976551,4.958377488485904
2015,0.3746039648183713,76.46945214130866,10.250050149794749,3.3442173587560675,1.6839290167887637,0.8405363480989,0.51476511310795,0.8530288444537862,0.17400684980450837,0.8053354007332064,4.690074812335029
2016,0.7364446130600686,68.20454902568343,8.962913407109552,2.481741781334238,1.2664009984490998,0.9542985272580663,0.8108407328828081,1.0907254528906893,0.23798517351067525,2.482341437572674,12.771758850248698
2017,1.3803362668953434,60.758977390531555,5.643604700478004,1.0213536334709903,0.42362111261162405,1.1501900986422446,1.3815340022573843,1.3300550265072695,0.2969733599295535,5.127185253115497,21.486169155560535
2018,2.4722427093505788,54.47476249849602,5.277805345172555,0.7471671645009016,0.2809316181870313,1.403865320751203,1.7183262532181955,1.5125740042582414,0.40486852829194125,5.872907599592247,25.834548958181088
2019,2.799127291037323,50.187220637958696,5.6767993348464945,0.8886365457279859,0.3075981672638809,1.3562237983356609,2.04299088912311,1.6477873839691597,0.4757171673848548,6.62478803338319,27.993110750969645
2020,2.7569743182402955,48.67997702017013,5.680413503464852,1.0761593392568443,0.3511239201356604,1.3601336273656373,2.180024157926504,1.6606431478052264,0.4766815781708249,7.164844271609742,28.61302511585429
2021,2.807726498809468,47.914979148097146,5.712679477372442,1.281048024853741,0.4114774978120561,1.4514077514517278,2.343827844096823,1.7198842195845663,0.500569399436175,6.682231757594182,29.174168380891672
2022,2.8780538409820116,48.93370393081929,6.1584324355843085,1.488169978867335,0.47988094726490643,1.5060979491331428,2.0843334295330225,1.4029550288832249,0.4837686122978544,6.370098503155943,28.214505343478958
2023,2.9878111904742277,50.01810770292156,6.059789452591052,1.306994966782364,0.47024376514043276,1.567826346305796,1.6625261765574342,0.9366992918690097,0.4255690144713344,6.35774534328999,28.206686749596795
2024,3.0454213699438024,46.961250802687076,5.509624833896743,1.137898922235765,0.43758927914542306,1.5944360037056953,2.627106931726031,1.6589448982493866,0.5954904899067033,7.677015083900745,28.75522138460263
2025,3.1710095569417116,46.437826174591486,5.164672229219115,1.0180544438417627,0.43464626049835847,1.638992711199414,2.816431662118706,1.743696094446849,0.6276925586809861,8.45079220305241,28.496186105409205
